Posizionamento_Disciplina,Squadra,Punti,anno,disciplina,PtTotaliOlimpiade,Posizionamento_Olimpiade
10,BANCO,14,2025,Basket Connect 4,304,51
11,GUY DE MONTFORT,14,2025,Basket Connect 4,350,24
12,TEBALDO,14,2025,Basket Connect 4,320,39
13,ISMAELE,14,2025,Basket Connect 4,280,76
14,FALSTAFF,14,2025,Basket Connect 4,320,40
15,ERNANI,14,2025,Basket Connect 4,283,73
16,ROLANDO,14,2025,Basket Connect 4,300,60
17,MACBETH,10,2025,Basket Connect 4,361,17
18,MEDORA,10,2025,Basket Connect 4,288,70
19,NABUCODONOSOR,10,2025,Basket Connect 4,328,34
20,ARVINO,10,2025,Basket Connect 4,438,5
21,DOROTEA,10,2025,Basket Connect 4,301,54
22,FILIPPO II,10,2025,Basket Connect 4,326,36
23,AROLDO,10,2025,Basket Connect 4,320,41
24,AMONASRO,10,2025,Basket Connect 4,297,64
25,MOSER,10,2025,Basket Connect 4,230,104
26,RENATO,10,2025,Basket Connect 4,271,84
27,DESDEMONA,10,2025,Basket Connect 4,343,27
28,CORRADO,10,2025,Basket Connect 4,358,20
29,GERMONT,10,2025,Basket Connect 4,312,46
30,EMILIA,10,2025,Basket Connect 4,277,80
31,VIOLETTA,10,2025,Basket Connect 4,345,26
32,RAMFIS,10,2025,Basket Connect 4,403,7
33,FRA MELITONE,6,2025,Basket Connect 4,144,108
34,ABIGAILLE,6,2025,Basket Connect 4,385,13
35,OTELLO,6,2025,Basket Connect 4,470,3
36,FERRANDO,6,2025,Basket Connect 4,267,87
37,ATTILA,6,2025,Basket Connect 4,268,86
38,DUCA DI MANTOVA,6,2025,Basket Connect 4,307,50
39,PIRRO,6,2025,Basket Connect 4,233,103
40,STANKAR,6,2025,Basket Connect 4,282,74
41,CONTE DI LUNA,6,2025,Basket Connect 4,357,21
42,CASSIO,6,2025,Basket Connect 4,392,11
43,BARBAROSSA,6,2025,Basket Connect 4,301,55
44,FENTON,6,2025,Basket Connect 4,266,89
45,MARCOVALDO,6,2025,Basket Connect 4,451,4
46,MASSIMILIANO,6,2025,Basket Connect 4,247,98
47,CONTE DI VAUDEMONT,6,2025,Basket Connect 4,416,6
48,ALFREDO,6,2025,Basket Connect 4,470,2
49,RE CARLO,6,2025,Basket Connect 4,244,99
50,ATALIBA,6,2025,Basket Connect 4,327,35
51,FLORA,6,2025,Basket Connect 4,299,61
52,MALCOLM,6,2025,Basket Connect 4,360,18
53,EGBERTO,6,2025,Basket Connect 4,293,67
54,ROLLA,6,2025,Basket Connect 4,265,90
55,GUSMANO,6,2025,Basket Connect 4,266,88
56,SPARAFUCILE,6,2025,Basket Connect 4,362,16
57,AMNERIS,6,2025,Basket Connect 4,300,58
58,PREZIOSILLA,6,2025,Basket Connect 4,241,101
59,RUY GOMEZ,6,2025,Basket Connect 4,261,91
60,ALZIRA,6,2025,Basket Connect 4,300,57
61,RODOLFO,6,2025,Basket Connect 4,317,44
62,ZAMORO,6,2025,Basket Connect 4,387,12
63,OVANDO,6,2025,Basket Connect 4,312,47
64,FEDERICA,6,2025,Basket Connect 4,296,65
65,RAFFAELE,6,2025,Basket Connect 4,251,94
66,ELISABETTA DI VALOIS,6,2025,Basket Connect 4,287,71
67,BRIANO,6,2025,Basket Connect 4,224,106
68,ARMINIO,6,2025,Basket Connect 4,225,105
69,OSCAR,6,2025,Basket Connect 4,275,81
70,LINA,6,2025,Basket Connect 4,301,56
71,DON ALVARO,6,2025,Basket Connect 4,240,102
72,LEONORA,6,2025,Basket Connect 4,297,63
73,ELVIRA,6,2025,Basket Connect 4,279,77
74,AZUCENA,6,2025,Basket Connect 4,337,30
75,ALICE,6,2025,Basket Connect 4,332,32
76,FORESTO,6,2025,Basket Connect 4,302,52
77,ELENA,6,2025,Basket Connect 4,382,15
78,FORD,6,2025,Basket Connect 4,317,43
79,RODRIGO,6,2025,Basket Connect 4,291,68
80,MINA,6,2025,Basket Connect 4,349,25
81,DON RICCARDO,6,2025,Basket Connect 4,300,59
82,GISELDA,6,2025,Basket Connect 4,358,19
83,BORSA,6,2025,Basket Connect 4,302,53
84,DON CARLOS,6,2025,Basket Connect 4,337,31
85,ZACCARIA,6,2025,Basket Connect 4,384,14
86,STIFFELIO,6,2025,Basket Connect 4,307,49
87,LIDA,6,2025,Basket Connect 4,277,78
88,ARRIGO,6,2025,Basket Connect 4,293,66
89,ULDINO,6,2025,Basket Connect 4,248,96
90,WURM,6,2025,Basket Connect 4,298,62
91,ABDALLO,6,2025,Basket Connect 4,281,75
92,CALATRAVA,6,2025,Basket Connect 4,259,92
93,NINETTA,6,2025,Basket Connect 4,213,107
94,RIGOLETTO,6,2025,Basket Connect 4,271,85
95,LUISA MILLER,6,2025,Basket Connect 4,277,79
96,ODABELLA,6,2025,Basket Connect 4,273,83
97,SEID,6,2025,Basket Connect 4,244,100
98,GODVINO,6,2025,Basket Connect 4,275,82
99,AMELIA,6,2025,Basket Connect 4,318,42
100,MANRICO,6,2025,Basket Connect 4,256,93
101,ULRICA,6,2025,Basket Connect 4,326,37
102,VICLINDA,6,2025,Basket Connect 4,251,95
103,RADAMÈS,6,2025,Basket Connect 4,291,69
104,AIDA,6,2025,Basket Connect 4,308,48
105,CONTE RICCARDO,6,2025,Basket Connect 4,329,33
106,GILDA,6,2025,Basket Connect 4,315,45
107,DUNCANO,6,2025,Basket Connect 4,343,28
108,SELIMO,6,2025,Basket Connect 4,323,38
1,MALCOLM,30,2025,Biglie,360,18
2,AMELIA,25,2025,Biglie,318,42
3,CORRADO,21,2025,Biglie,358,20
4,ARVINO,19,2025,Biglie,438,5
5,MINA,18,2025,Biglie,349,25
6,MARCOVALDO,17,2025,Biglie,451,4
7,SPARAFUCILE,16,2025,Biglie,362,16
8,GERMONT,15,2025,Biglie,312,46
